,album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
85,69fjW2kkkRA9EQSR2JKamS,compilation,TickTok Back To School 2022,2022-10-11,39,1iSyH8ek7Eqc8UWOReZaqg,I Ain't Worried,"Pop rock, sunshine pop",,148485,1,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
86,3e2ovw0XLWHBkoeaSFIYDb,compilation,Pop para alegrar la rutina,2022-08-12,35,2IwFTIyj6wi0U5PjVGqa8Y,I Ain't Worried,"Pop rock, sunshine pop",,148485,5,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
87,3moHXdI6Yy6M0uC0cOjtve,compilation,Pop Hits Fall 2022,2022-09-29,22,3ttCFW0bKHuWLeOlDFw2eg,I Ain't Worried,"Pop rock, sunshine pop",,148485,3,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
88,185hd3jXIw7fc1ZhP1srAm,compilation,Hits Vacances Eté 2022,2022-08-10,22,0BaRhrm1ejnstdFZhhBOdL,I Ain't Worried,"Pop rock, sunshine pop",,148485,5,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
89,1xybf1vMF8lcAQnvC3r2x9,compilation,HOT PARTY BACK TO SCHOOL 2022,2022-10-06,29,4LUwZxtF980YhwrvxtTeZ7,I Ain't Worried,"Pop rock, sunshine pop",,148485,1,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
90,0NrACYymhXAdxYdyRxyfwA,compilation,Trending Fall Hits 2022,2022-08-16,28,0A0NauQBRPdVmB4WggtJzX,I Ain't Worried,"Pop rock, sunshine pop",,148485,6,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
91,47iZIYtSK2BZb3g1y4LV5y,compilation,Top Trending Romania - Vara 2022,2022-10-07,100,7bJgXBH1ON1zYGsjsNkcSR,I Ain't Worried,"Pop rock, sunshine pop",,148485,6,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
92,7eaJhU3GeMd3pHgXihrHXn,compilation,Hits Automne 2022,2022-09-29,22,36Rjd7QsJou4aQmSGMW9cO,I Ain't Worried,"Pop rock, sunshine pop",,148485,4,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
93,0VaHnwzDug4AcDkejYDUl5,single,Sunroof,2021-12-03,1,4h4QlmocP3IuwYEj2j14p8,Sunroof,,,163025,92,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
94,7LC439zjDcvAgdooLmL67Q,single,Sunroof (Loud Luxury Remix),2022-08-12,1,1E8i4Xq9tH2LVWC0b1Sptj,Sunroof - Loud Luxury Remix,,,173658,70,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
95,6LFrv88kfZQFbo9y0gaZ7x,single,Sunroof (feat. 24kGoldn),2022-08-12,1,0u0eGWwyJmOVoG6ld4uNm0,Sunroof (feat. 24kGoldn),,,162534,65,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
96,3WWQUIIyn2PeP190XpWzc7,single,Sunroof (feat. Thomas Rhett),2022-08-12,1,6h8gsCn4oaTmJM7MoglvQR,Sunroof (feat. Thomas Rhett),,,163025,59,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
97,2Lm0F5MpahWZ4vb0k4MiHj,single,Sunroof (Remixes),2022-08-12,6,2xRPwGneUj9S6UNC2TthyJ,Sunroof (feat. Thomas Rhett),,,163025,57,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
98,6Au3AytJslA9VatzxGb0fj,single,Sunroof (feat. Manuel Turizo),2022-08-12,1,1Rj5fXGOrfFpynoO19Xtar,Sunroof (feat. Manuel Turizo),,,163025,60,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
99,2Lm0F5MpahWZ4vb0k4MiHj,single,Sunroof (Remixes),2022-08-12,6,5SQumm5nD389bpF8MsYRkg,Sunroof - Acoustic,,,135572,53,False,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,
